I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-78, 63, 141, 7, -109, 102, 4, -39, 68, 146, 107, -122, 
-78, 63, 141, 7, -109, 102, 4, -34, 68, 146, 117, -122, 
-68, 73, 141, -2, -104, 107, 9, -34, 78, 151, 122, -112, 
-68, 87, 156, -9, -112, 122, 9, -34, 78, 156, 122, -107, 
-53, 82, 136, -14, -95, 109, 9, -43, 73, 156, 117, -107, 
-48, 68, 117, -9, -82, 92, 9, -43, 82, 161, 122, -102, 
-34, 58, 92, -12, -63, 75, 14, -43, 78, 165, 126, -102, 
-29, 63, 92, -17, -61, 78, 14, -43, 82, 175, 126, -97, 
-34, 63, 97, -14, -65, 80, 19, -53, 82, 165, 122, -97, 
-34, 58, 92, -12, -63, 75, 19, -53, 82, 165, 126, -97, 
-34, 53, 87, -9, -61, 70, 14, -48, 82, 170, 126, -97, 
-34, 39, 73, -2, -53, 56, 9, -48, 82, 170, 131, -92, 
-24, 53, 78, -14, -51, 65, 19, -48, 92, 170, 122, -97, 
-24, 68, 92, -21, -58, 80, 9, -48, 87, 170, 122, -97, 
-14, 73, 87, -29, -51, 80, 4, -43, 82, 170, 122, -97, 
-9, 73, 82, -31, -46, 78, 4, -34, 82, 161, 122, -97, 
-24, 58, 82, -17, -53, 70, 19, -34, 82, 170, 122, -97, 
-29, 48, 78, -9, -53, 63, 14, -34, 78, 161, 122, -97, 
-39, 39, 78, 0, -58, 58, 19, -34, 78, 161, 122, -102, 
-43, 24, 68, 9, -56, 46, 19, -29, 78, 161, 117, -102, 
-14, 43, 58, -14, -36, 51, 9, -34, 87, 165, 117, -102, 
4, 43, 39, -24, -17, 41, 4, -34, 73, 161, 112, -97, 
19, 58, 39, -39, -9, 48, 4, -39, 63, 156, 112, -92, 
34, 68, 34, -51, 0, 51, 4, -48, 63, 151, 112, -97, 
29, 63, 34, -46, -2, 48, 0, -39, 63, 156, 112, -87, 
29, 58, 29, -43, 0, 43, -4, -34, 58, 146, 102, -87, 
24, 63, 39, -43, -7, 51, -9, -29, 48, 141, 107, -92, 
14, 58, 43, -36, -14, 51, -9, -24, 53, 146, 107, -87, 
14, 34, 19, -24, -2, 26, -14, -9, 58, 146, 112, -78, 
14, 24, 9, -19, 2, 17, -14, -9, 58, 151, 107, -82, 
14, 14, 0, -14, 7, 7, -14, -14, 58, 151, 107, -82, 
24, 4, -19, -14, 21, -7, -14, -9, 58, 156, 107, -82, 
19, 0, -19, -9, 19, -9, -29, -14, 34, 136, 102, -92, 
9, 4, -4, -7, 7, 0, -34, -24, 19, 122, 92, -97, 
9, 0, -9, -4, 9, -4, -39, -34, 9, 112, 78, -107, 
-9, -14, -4, 12, -2, -9, -34, -43, 0, 97, 68, -112, 
0, -24, -24, 12, 12, -24, -19, -43, 9, 97, 58, -102, 
4, -24, -29, 9, 17, -26, -14, -43, 9, 97, 53, -112, 
0, -19, -19, 9, 9, -19, -4, -48, 9, 92, 53, -102, 
4, -24, -29, 9, 17, -26, -4, -48, 9, 92, 53, -102, 
-34, -19, 14, 26, -24, -2, 14, -39, 14, 107, 68, -102, 
-39, -9, 29, 24, -34, 9, 19, -29, 24, 112, 73, -97, 
-48, 4, 53, 21, -51, 29, 24, -29, 29, 117, 78, -92, 
-53, 14, 68, 19, -61, 41, 34, -29, 34, 122, 82, -87, 
-68, 9, 78, 29, -73, 43, 34, -39, 24, 122, 68, -78, 
-68, 4, 73, 31, -70, 39, 34, -39, 24, 122, 63, -78, 
-68, -9, 58, 39, -63, 24, 34, -39, 24, 112, 63, -78, 
-73, -14, 58, 43, -65, 21, 34, -39, 19, 112, 58, -87, 
-73, -29, 43, 51, -58, 7, 39, -39, 14, 107, 43, -82, 
-73, -34, 39, 53, -56, 2, 39, -39, 14, 107, 43, -78, 
-73, -39, 34, 56, -53, -2, 43, -39, 19, 107, 39, -68, 
-82, -48, 34, 65, -58, -7, 43, -39, 19, 107, 34, -63, 
-78, -34, 43, 56, -61, 4, 48, -24, 24, 117, 39, -58, 
-73, -34, 39, 53, -56, 2, 53, -19, 29, 117, 39, -53, 
-58, -29, 29, 43, -43, 0, 53, -14, 29, 117, 39, -48, 
-53, -19, 34, 36, -43, 7, 58, -9, 29, 117, 39, -43, 
-68, -29, 39, 48, -53, 4, 68, -24, 29, 117, 24, -39, 
-92, -34, 58, 63, -75, 12, 68, -24, 29, 117, 19, -39, 
-107, -48, 58, 78, -82, 4, 68, -24, 34, 117, 9, -34, 
-112, -53, 58, 82, -85, 2, 68, -24, 34, 117, 4, -24, 
-131, -87, 43, 109, -87, -21, 68, -24, 34, 117, 24, -24, 
-102, -48, 53, 75, -78, 2, 58, -24, 14, 102, 14, -24, 
-78, -9, 68, 43, -73, 29, 53, -24, 19, 102, 9, -24, 
-87, -19, 68, 53, -78, 24, 63, -9, 34, 112, 19, -14, 
-97, -43, 53, 70, -75, 4, 78, 14, 58, 131, 34, 4, 
-68, -34, 34, 51, -51, 0, 92, 43, 78, 141, 43, 4, 
-48, 9, 58, 19, -53, 34, 97, 68, 87, 136, 34, 4, 
-68, 29, 97, 19, -82, 63, 97, 82, 97, 146, 34, 9, 
-73, -29, 43, 51, -58, 7, 107, 102, 117, 161, 43, 14, 
-34, -48, -14, 41, -9, -31, 87, 122, 107, 151, 34, 14, 
19, -14, -34, -2, 26, -24, 48, 126, 82, 141, 24, 9, 
39, -19, -58, -9, 48, -39, 24, 151, 78, 141, 43, 29, 
97, -24, -122, -36, 109, -73, -9, 209, 82, 151, 58, 53, 
200, -14, -214, -92, 207, -114, -82, 248, 43, 141, 58, 68, 
253, -4, -258, -124, 256, -131, -151, 292, 0, 122, 53, 78, 
302, 4, -297, -153, 300, -146, -209, 322, -9, 126, 73, 102, 
370, 39, -331, -204, 351, -146, -263, 317, -19, 151, 97, 151, 
429, 78, -351, -253, 390, -136, -336, 283, -39, 170, 126, 204, 
497, 131, -366, -314, 431, -117, -419, 234, -87, 185, 165, 273, 
580, 156, -424, -368, 502, -134, -507, 151, -209, 131, 165, 297, 
610, 126, -483, -368, 546, -178, -614, 34, -380, 34, 126, 292, 
658, 102, -556, -380, 607, -226, -688, -87, -531, -63, 82, 273, 
692, 68, -624, -380, 658, -278, -766, -234, -697, -170, 24, 263, 
688, 39, -649, -363, 668, -305, -844, -385, -863, -283, -34, 244, 
712, 43, -668, -378, 690, -312, -961, -507, -1000, -366, -63, 253, 
814, 78, -736, -446, 775, -329, -1078, -614, -1088, -419, -82, 283, 
902, 9, -893, -456, 897, -441, -1166, -727, -1156, -468, -92, 312, 
985, -87, -1073, -448, 1029, -580, -1229, -829, -1229, -517, -107, 341, 
1098, -78, -1176, -509, 1137, -627, -1307, -946, -1307, -575, -136, 336, 
1166, -29, -1195, -568, 1180, -612, -1366, -1049, -1390, -634, -161, 341, 
1176, -68, -1244, -553, 1210, -656, -1371, -1107, -1434, -678, -175, 331, 
1166, -190, -1356, -488, 1261, -773, -1361, -1137, -1468, -722, -209, 322, 
1176, -283, -1459, -446, 1317, -871, -1361, -1166, -1532, -790, -268, 278, 
1205, -346, -1551, -429, 1378, -949, -1342, -1185, -1590, -854, -326, 214, 
1220, -405, -1625, -407, 1422, -1015, -1302, -1205, -1610, -897, -366, 165, 
1215, -468, -1683, -373, 1449, -1076, -1249, -1229, -1600, -927, -419, 136, 
1190, -517, -1708, -336, 1449, -1112, -1180, -1254, -1610, -971, -473, 92, 
1122, -614, -1737, -253, 1429, -1176, -1098, -1254, -1605, -995, -531, 24, 
1063, -697, -1761, -183, 1412, -1229, -1019, -1210, -1556, -1000, -566, -14, 
1054, -736, -1790, -158, 1422, -1263, -951, -1156, -1517, -1000, -585, -53, 
1063, -756, -1820, -153, 1442, -1288, -893, -1112, -1507, -1015, -614, -107, 
1024, -790, -1815, -117, 1420, -1302, -844, -1083, -1473, -1015, -634, -141, 
980, -790, -1771, -95, 1376, -1281, -805, -1083, -1454, -1005, -658, -190, 
946, -790, -1737, -78, 1342, -1263, -771, -1083, -1444, -1034, -722, -268, 
902, -849, -1751, -26, 1327, -1300, -722, -1044, -1429, -1054, -766, -331, 
863, -936, -1800, 36, 1332, -1368, -653, -971, -1376, -1049, -800, -375, 
839, -966, -1805, 63, 1322, -1385, -600, -912, -1332, -1049, -844, -429, 
805, -956, -1761, 75, 1283, -1359, -551, -888, -1288, -1039, -873, -483, 
761, -966, -1727, 102, 1244, -1346, -502, -868, -1239, -1005, -873, -488, 
722, -951, -1673, 114, 1198, -1312, -453, -819, -1180, -971, -844, -478, 
722, -878, -1600, 78, 1161, -1239, -429, -751, -1098, -902, -780, -434, 
727, -780, -1507, 26, 1117, -1144, -400, -722, -1010, -814, -712, -385, 
692, -732, -1424, 19, 1058, -1078, -380, -697, -941, -741, -653, -351, 
644, -692, -1337, 24, 990, -1015, -380, -673, -888, -702, -624, -336, 
619, -624, -1244, 2, 932, -934, -375, -624, -814, -634, -585, -317, 
639, -551, -1190, -43, 915, -871, -370, -556, -727, -566, -546, -283, 
658, -502, -1161, -78, 910, -832, -356, -478, -629, -488, -483, -234, 
663, -429, -1093, -117, 878, -761, -341, -395, -541, -414, -405, -180, 
663, -356, -1019, -153, 841, -688, -317, -326, -478, -366, -375, -151, 
610, -317, -927, -146, 768, -622, -268, -278, -444, -351, -361, -146, 
566, -292, -858, -136, 712, -575, -209, -234, -409, -307, -326, -131, 
522, -244, -766, -139, 644, -505, -165, -204, -341, -248, -268, -117, 
473, -214, -688, -129, 580, -451, -151, -209, -317, -224, -258, -112, 
375, -180, -556, -97, 466, -368, -141, -219, -292, -209, -258, -112, 
